[ 2020-03-21T12:32:34+08:00 ] 0.0.0.0 /book/
INFO: [ app_begin ] --START--
INFO: ReadHtmlCache Behavior ::run [ RunTime:0.000894s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000996s ]
SQL: SELECT * FROM `book_siteset` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000532s ]
SQL: SHOW COLUMNS FROM `book_notice` [ RunTime:0.007768s ]
SQL: SELECT * FROM `book_notice` LIMIT 8   [ RunTime:0.000478s ]
SQL: SHOW COLUMNS FROM `book_book` [ RunTime:0.005491s ]
SQL: SELECT * FROM book_book as a,book_cats as b WHERE ( a.book_cat=b.cat_id and a.flags like '%a%' ) LIMIT 7   [ RunTime:0.000791s ]
SQL: SELECT * FROM book_book as a,book_cats as b WHERE ( a.book_cat=b.cat_id and a.progress=59 ) ORDER BY a.public_time LIMIT 7   [ RunTime:0.000616s ]
SQL: SELECT * FROM book_book as a,book_cats as b WHERE ( a.book_cat=b.cat_id and a.flags like '%b%' ) LIMIT 3   [ RunTime:0.000555s ]
SQL: SELECT * FROM book_book as a,book_cats as b WHERE ( a.book_cat=b.cat_id ) ORDER BY a.public_time LIMIT 12   [ RunTime:0.000884s ]
SQL: SELECT * FROM book_book as a,book_cats as b WHERE ( a.book_cat=b.cat_id and a.flags like '%c%' )  [ RunTime:0.000769s ]
SQL: SELECT * FROM book_book as a,book_cats as b WHERE ( a.book_cat=b.cat_id and a.flags like '%d%' )  [ RunTime:0.000920s ]
SQL: SHOW COLUMNS FROM `book_book` [ RunTime:0.005416s ]
SQL: SELECT * FROM `book_book`  [ RunTime:0.000680s ]
SQL: SHOW COLUMNS FROM `book_user` [ RunTime:0.007470s ]
SQL: SELECT `user_name` FROM `book_user` WHERE ( 1=1 AND user_id='36' ) LIMIT 1   [ RunTime:0.000575s ]
SQL: SHOW COLUMNS FROM `book_cats` [ RunTime:0.006335s ]
SQL: SELECT `cat_sortname` FROM `book_cats` WHERE ( 1=1 AND cat_id='62' ) LIMIT 1   [ RunTime:0.000579s ]
SQL: SHOW COLUMNS FROM `book_chapter` [ RunTime:0.006790s ]
SQL: SELECT `chapter_title` FROM `book_chapter` WHERE ( 1=1 AND book_id='14' ) ORDER BY update_time desc LIMIT 1   [ RunTime:0.000655s ]
SQL: SELECT `user_name` FROM `book_user` WHERE ( 1=1 AND user_id='36' ) LIMIT 1   [ RunTime:0.000430s ]
SQL: SELECT `cat_sortname` FROM `book_cats` WHERE ( 1=1 AND cat_id='1' ) LIMIT 1   [ RunTime:0.000416s ]
SQL: SELECT `chapter_title` FROM `book_chapter` WHERE ( 1=1 AND book_id='15' ) ORDER BY update_time desc LIMIT 1   [ RunTime:0.000527s ]
SQL: SELECT `user_name` FROM `book_user` WHERE ( 1=1 AND user_id='36' ) LIMIT 1   [ RunTime:0.000426s ]
SQL: SELECT `cat_sortname` FROM `book_cats` WHERE ( 1=1 AND cat_id='5' ) LIMIT 1   [ RunTime:0.000439s ]
SQL: SELECT `chapter_title` FROM `book_chapter` WHERE ( 1=1 AND book_id='22' ) ORDER BY update_time desc LIMIT 1   [ RunTime:0.000556s ]
SQL: SELECT `user_name` FROM `book_user` WHERE ( 1=1 AND user_id='36' ) LIMIT 1   [ RunTime:0.000445s ]
